#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	6.44579659726749
157	genus	TREPONEMA	0.0366770202366
53426	species	SULFOPHOBOCOCCUS ZILLIGII	0.0306998580902
418101	subgenus	PLASMODIUM VINCKEIA	0.0305468478940868
5861	species	PLASMODIUM YOELII	0.0305468478940868
73239	subspecies	PLASMODIUM YOELII YOELII	0.0305468478940868
422676	class	ACONOIDASIDA	0.0305468478940868
2759	superkingdom	EUKARYOTA	0.0305468478940868
566972	no rank	HELICOVERPA ARMIGERA NPV NNG1	0.0305468478940868
51313	species	HELICOVERPA ARMIGERA NUCLEOPOLYHEDROVIRUS	0.0305468478940868
33630	no rank	ALVEOLATA	0.0305468478940868
5819	order	HAEMOSPORIDA	0.0305468478940868
5794	phylum	APICOMPLEXA	0.0305468478940868
10468	species	HELICOVERPA ZEA SINGLE NUCLEOPOLYHEDROVIRUS	0.0305468478940868
5820	genus	PLASMODIUM	0.0305468478940868
10449	species	LYMANTRIA DISPAR MULTIPLE NUCLEOPOLYHEDROVIRUS	0.0279794445423
744872	no rank	TREPONEMA CALDARIA DSM 7334	0.02738439369425
215591	species	TREPONEMA CALDARIA	0.02738439369425
73913	species	METHANOCALDOCOCCUS VULCANIUS	0.0248468645846
2926	species	ALEXANDRIUM TAMARENSE	0.0232653999354
2924	genus	ALEXANDRIUM	0.0232653999354
40984	order	GONYAULACALES	0.0232653999354
33834	family	GONYAULACACEAE	0.0232653999354
288022	species	KORDIIMONAS GWANGYANGENSIS	0.022537474396
362534	order	KORDIIMONADALES	0.022537474396
1122137	no rank	KORDIIMONAS GWANGYANGENSIS DSM 19435	0.022537474396
288021	genus	KORDIIMONAS	0.022537474396
1331809	family	KORDIIMONADACEAE	0.022537474396
37952	family	METOPIDAE	0.0213143527008
70074	genus	NYCTOTHERUS	0.0213143527008
70075	species	NYCTOTHERUS OVALIS	0.0213143527008
658449	class	ARMOPHOREA	0.0213143527008
33830	order	ARMOPHORIDA	0.0213143527008
249585	genus	WHISPOVIRUS	0.0209366030384
196937	family	NIMAVIRIDAE	0.0209366030384
92652	no rank	SHRIMP WHITE SPOT SYNDROME VIRUS	0.0209366030384
342409	species	WHITE SPOT SYNDROME VIRUS	0.0209366030384
545695	no rank	TREPONEMA AZOTONUTRICIUM ZAS 9	0.01988852157635
150829	species	TREPONEMA AZOTONUTRICIUM	0.01988852157635
542343	species	ADOXOPHYES ORANA NUCLEOPOLYHEDROVIRUS	0.0185767432786667
224399	species	ADOXOPHYES HONMAI NUCLEOPOLYHEDROVIRUS	0.0185767432786667
190974	species	METHANOBREVIBACTER GOTTSCHALKII	0.0127332701062
45237	species	HELMINTHOSPORIUM VICTORIAE VIRUS 190S	0.0102261566927333
425009	species	BOTRYOTINIA FUCKELIANA TOTIVIRUS 1	0.0102261566927333
1054649	species	BEAUVERIA BASSIANA RNA VIRUS 1	0.0102261566927333
13776	species	UNIDENTIFIED ARCHAEON	0.0096898683487
441999	species	MAGNAPORTHE ORYZAE VIRUS 2	0.00956395704193333
73498	species	SPHAEROPSIS SAPINEA RNA VIRUS 2	0.00956395704193333
279539	species	GREMMENIELLA ABIETINA RNA VIRUS L2	0.00956395704193333
198240	species	UNCULTURED METHANOGENIC ARCHAEON	0.00751998695933
29546	species	LAWSONIA INTRACELLULARIS	0.00504906931606364
194924	family	DESULFOVIBRIONACEAE	0.00504906931606364
213115	order	DESULFOVIBRIONALES	0.00504906931606364
41707	genus	LAWSONIA	0.00504906931606364
28221	class	DELTAPROTEOBACTERIA	0.00504906931606364
1287056	no rank	BRACHYSPIRA HAMPSONII 30599	0.003719050416325
1203218	no rank	BRACHYSPIRA HAMPSONII BV. I	0.003719050416325
